064lab,https://zerosixfour.com/,http://www.zerosixfour.com/work,디자인 컨설팅 ,"브랜딩, 사진, 패키징, UI/UX 디자인 컨설팅",{이미지/영상제작} 기술 기반의 {콘텐츠} ? {컨설팅} 분야에서 {교육/컨설팅} 형태로 {Offline} ? {연구/분석} 합니다
10B,http://www.ssm10b.com/,https://apps.apple.com/kr/app/%EC%94%80-%EC%9D%BC%EC%83%81%EC%A0%81-%EA%B8%80%EC%93%B0%EA%B8%B0/id1118780107?l=en,씀 ,글쓰기 앱,{프로그램개발} 기술 기반의 {콘텐츠} ? {문서} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
10B,http://www.ssm10b.com/,,,,
10fingers,http://www.datepop.kr/,https://play.google.com/store/apps/details?id=com.tenfingers.seouldatepop,데이트팝 ,데이트코스 정보 서비스,{검색} 기술 기반의 {여행} ? {여행플래닝} 분야에서 {모바일앱} 형태로 {Online} ? {추천} 합니다
10fingers,http://www.datepop.kr/,,,,
10LOCO,http://10loco.com,https://play.google.com/store/apps/details?id=com.medicto.medicto,메딕토 ,약국에서의 언어장벽을 간단한 클릭으로 받는 증상설명 및 복약지도 서비스,{빅데이터/분석} 기술 기반의 {헬스케어} ? {의료정보} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
10LOCO,http://10loco.com,,,,
1Day1Song,http://www.1day1song.com/,https://itunes.apple.com/kr/app/1day1song/id546679956?mt=8,원데이원송 ,음악추천 라디오 서비스,{음악/영상스트리밍} 기술 기반의 {콘텐츠} ? {음악퍼블리싱} 분야에서 {모바일앱} 형태로 {Online} ? {추천} 합니다
1Day1Song,http://www.1day1song.com/,,,,
1STBiotherapeutics,http://1stbio.com,,파킨슨병 치료제 ,파킨슨병 치료제,{연구개발} 기술 기반의 {바이오/의료} ? {뇌질환} 분야에서 {상품} 형태로 {Offline} ? {제조/공급} 합니다
21gramGroup,http://21gram.co.kr/,http://21gram.co.kr/,21그램 ,반려동물 장례 중개 서비스,{검색} 기술 기반의 {애완동물} ? {장례} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
21gramGroup,http://21gram.co.kr/,,,,
245,https://ssgsag.kr/,https://play.google.com/store/apps/details?id=com.icoo.ssgsag_android,슥삭 ,"대외활동, 공모전, 서포터즈, 인턴, 동아리 추천 앱",{검색} 기술 기반의 {교육} ? {정보제공} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
245,https://ssgsag.kr/,,,,
2Bill,,https://play.google.com/store/apps/details?id=com.twodep.receipt1,투빌 ,"모바일 영수증, 전자 영수증, 결제 플랫폼",{결제} 기술 기반의 {금융} ? {송금/결제} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
2Bill,,,,,
2gather,http://2gather.us/,,그룹 영상 채팅 서비스 ,"저지연 영상, 화면 싱크 등의 기술 기반 그룹 영상 채팅 서비스",{음악/영상스트리밍} 기술 기반의 {기업} ? {메신저} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
2gather,http://2gather.us/,,,,
2MEU,http://2dub.me,https://play.google.com/store/apps/details?id=com.dubberss.koo.dub2&hl=ko,투덥 ,영상 더빙 방식의 영어 교육 앱,{음악/영상스트리밍} 기술 기반의 {교육} ? {외국어교육} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
2MEU,http://2dub.me,,,,
